cgpa,department,programming_skill_score,problem_solving_score,database_skill_score,coding_contest_rating,coding_contest_platform,internships_count,hackathons_participated,freelance_experience,certifications_count,projects_count,github_repos,communication_skill_score,teamwork_score,learning_consistency_score,aptitude_test_score,mock_interview_score,resume_quality_score,leadership_score,extracurricular_score,presentation_skill_score,employability_score,placement_status
3.18,EEE,76,67,67,1809,LeetCode,1,0,0,2,1,4,67,64,69,64,65,46,52,12,63,60.52,0
2.14,EEE,23,18,9,446,HackerRank,0,0,0,0,1,6,13,16,14,14,7,32,5,0,20,12.47,0
2.95,B.B.A,46,45,33,788,LeetCode,0,2,0,3,2,8,57,55,47,37,43,55,43,44,53,39.99,0
2.95,B.B.A,44,45,35,973,LeetCode,0,2,0,3,3,11,55,50,47,40,44,76,45,30,50,44.22,1
2.49,CSE,41,29,32,625,Codeforces,2,1,1,1,3,10,33,20,25,31,31,83,17,13,30,35.23,1
3.17,CSE,72,54,50,1294,Codeforces,2,3,0,2,3,12,62,49,61,67,53,95,52,58,55,62.17,0
2.27,CSE,29,41,32,906,Codeforces,0,3,0,0,1,5,35,21,41,35,37,32,26,64,30,28.91,0
3.79,EEE,100,89,81,2072,LeetCode,3,5,1,4,5,20,94,86,88,87,91,100,82,100,77,91.05,1
3.69,B.B.A,86,82,59,1735,LeetCode,1,1,0,5,4,18,80,87,87,89,93,100,91,38,89,78.36,1
3.5,CSE,93,92,85,2284,Codeforces,1,5,0,3,5,20,83,86,99,100,89,100,68,84,77,86.73,1
2,CSE,14,17,18,346,HackerRank,0,0,0,0,3,11,17,7,16,14,8,45,4,3,6,13.78,0
3.13,EEE,60,57,54,1299,LeetCode,0,3,0,3,4,17,45,57,58,61,59,92,50,57,70,53.41,1
3,English,24,40,35,1126,CodeChef,3,1,1,2,2,7,52,43,39,39,49,91,45,30,47,48.03,1
2.14,EEE,3,16,22,0,CodeChef,0,0,0,0,0,2,5,1,0,6,6,5,6,0,9,8.22,0
3.44,English,39,40,40,552,CodeChef,0,4,1,1,2,7,54,46,45,46,59,45,48,66,60,51.77,0
2.2,Civil,5,10,15,92,LeetCode,0,1,0,0,2,7,16,9,2,7,18,38,7,13,17,12.25,0
2.81,CSE,50,51,48,1215,Codeforces,2,2,0,1,2,8,50,44,50,49,48,75,36,53,42,48.93,0
2,CSE,26,21,19,11,HackerRank,1,0,0,1,1,4,13,8,23,10,14,50,10,0,20,13.3,0
3.93,CSE,100,83,80,2197,CodeChef,1,5,1,5,3,13,95,91,99,100,96,98,82,86,91,91.56,1
3.9,CSE,94,100,81,2219,Codeforces,3,4,0,5,5,20,88,80,83,89,86,100,90,89,82,92.21,1
3.67,Pharmacy,98,100,75,1977,HackerRank,2,4,1,2,5,20,100,91,97,100,89,100,95,84,90,93.49,1
2.67,CSE,35,34,35,619,Codeforces,1,1,0,3,2,8,33,18,22,31,27,64,17,20,17,34.58,0
2.72,B.B.A,26,32,20,528,LeetCode,0,0,1,1,1,3,33,39,30,13,32,29,35,5,34,26.67,0
2.4,EEE,11,11,8,90,Codeforces,0,0,0,0,0,1,7,12,7,17,14,12,3,11,10,10.39,0
3.3,B.B.A,48,58,41,1392,Codeforces,0,1,0,1,3,11,69,65,63,55,53,47,65,15,55,52.14,1
2.35,B.B.A,18,11,30,238,LeetCode,0,0,0,1,0,2,17,22,4,12,22,19,21,10,15,14.55,0
3.49,CSE,67,65,62,1441,HackerRank,1,2,0,4,4,16,65,59,71,70,62,100,54,43,62,65.07,1
3.07,CSE,58,68,55,1461,LeetCode,0,3,1,1,4,15,46,53,63,55,47,80,38,65,54,52.93,1
4,CSE,100,98,79,2124,LeetCode,2,5,0,4,4,18,100,89,99,88,95,100,82,95,87,93.82,1
3.62,EEE,86,83,82,2012,LeetCode,3,3,0,3,4,17,82,72,86,79,83,100,68,67,86,83.35,1
3.43,CSE,67,61,49,1619,CodeChef,2,2,0,3,3,15,60,62,69,73,67,100,55,36,54,66.34,1
2.56,Civil,46,41,39,809,CodeChef,2,0,0,1,4,15,46,43,46,44,51,100,36,14,60,43.72,0
3.3,CSE,77,80,75,1758,LeetCode,2,4,0,2,3,15,65,57,82,79,69,100,55,67,62,71.63,1
3.38,CSE,79,92,84,1681,Codeforces,2,2,1,4,4,16,61,67,93,80,74,100,62,53,72,75.98,1
2.62,CSE,51,44,36,861,Codeforces,1,3,0,0,2,7,35,33,39,41,35,60,29,46,34,39.78,0
2.66,CSE,49,45,42,986,Codeforces,1,1,0,3,1,5,43,29,43,43,42,67,27,25,38,40.9,0
2.67,EEE,24,19,16,512,HackerRank,0,1,0,2,1,4,18,26,28,22,13,36,30,23,20,20.83,0
2.25,B.B.A,9,7,4,67,CodeChef,0,0,0,0,0,0,20,11,0,6,10,12,14,4,13,9.26,0
3.07,CSE,49,40,49,925,CodeChef,0,0,0,4,4,15,47,39,54,43,39,100,29,11,46,43.83,0
3.86,CSE,94,94,83,2248,Codeforces,3,4,0,3,5,20,88,91,90,99,91,100,73,79,74,93.7,1
2.85,CSE,45,50,43,997,LeetCode,1,3,0,1,2,8,43,30,48,46,41,63,46,53,38,43.1,0
3.48,Civil,72,63,58,1610,Codeforces,2,4,1,3,5,19,68,65,67,72,68,100,75,70,69,71.64,1
2.47,B.B.A,12,3,10,52,CodeChef,1,0,0,0,0,0,20,17,11,6,16,32,10,5,14,14.97,0
3.09,CSE,67,60,59,1170,Codeforces,1,2,0,1,3,14,49,53,55,52,43,75,33,32,35,51.64,1
3.72,Civil,95,97,79,2022,HackerRank,3,4,0,2,4,15,92,77,95,92,88,100,81,68,90,91.56,1
2.16,EEE,15,16,12,45,HackerRank,0,0,0,0,1,3,5,11,0,5,0,19,0,0,1,6.64,0
3.57,CSE,82,84,66,1612,Codeforces,2,4,1,4,3,12,80,60,86,84,91,100,71,64,80,81.71,1
2.92,EEE,52,55,60,1288,LeetCode,2,0,0,4,2,10,56,50,57,63,58,97,27,2,44,56.09,0
2,B.B.A,14,9,2,0,CodeChef,0,1,0,0,0,0,11,15,3,6,17,2,10,12,14,6.72,0
3.54,CSE,69,72,45,1436,CodeChef,3,2,0,0,3,11,50,52,62,65,56,88,55,41,58,64.77,1
2.8,EEE,46,31,35,722,CodeChef,1,2,1,2,3,12,33,32,44,37,31,87,26,38,31,40.42,0
2.46,B.B.A,13,25,27,54,CodeChef,0,0,0,1,2,8,29,20,19,18,23,38,22,5,31,21.49,0
2.49,Pharmacy,26,14,30,364,LeetCode,0,0,0,0,1,2,15,20,19,21,23,17,19,12,24,20.45,0
3.43,English,74,80,56,1876,Codeforces,2,1,0,3,3,13,96,75,66,72,82,100,76,38,80,74.47,1
2.02,CSE,15,11,19,93,CodeChef,0,0,0,1,1,6,3,0,1,4,0,38,0,6,1,6.22,0
3.1,CSE,80,72,62,1676,HackerRank,3,2,0,3,4,15,64,52,81,81,71,100,58,48,60,71.35,1
2.72,EEE,45,31,35,650,Codeforces,0,1,0,2,2,10,30,13,26,33,24,58,24,0,21,30.89,0
2.71,CSE,40,44,25,851,LeetCode,0,0,0,2,2,8,31,37,32,36,31,60,10,1,26,32.86,1
3.33,CSE,68,61,59,1259,CodeChef,3,3,0,4,2,11,57,59,67,67,63,100,55,55,56,65.83,1
2.71,CSE,31,46,37,1046,HackerRank,1,3,1,1,1,4,38,19,47,34,39,47,19,42,31,37.89,0
3.51,EEE,78,82,67,1753,Codeforces,1,3,0,3,3,13,64,68,69,73,66,89,70,59,59,69.1,1
3.09,EEE,72,74,68,1652,CodeChef,2,4,1,2,5,19,54,60,68,69,58,100,51,74,54,67.58,0
2.52,CSE,45,43,47,1183,LeetCode,0,1,0,1,2,7,32,30,45,43,35,40,36,16,35,34.89,0
2.06,CSE,19,32,22,401,CodeChef,1,1,0,0,1,4,26,15,20,21,9,42,14,16,10,19.41,0
3.77,B.B.A,89,97,74,1954,Codeforces,3,4,0,4,3,13,88,90,87,88,88,100,90,81,85,88.77,1
3.37,B.B.A,45,45,51,1065,HackerRank,0,0,0,3,2,6,67,60,61,50,62,47,54,19,59,50.79,0
3.83,EEE,95,92,89,2369,CodeChef,1,5,1,5,4,19,87,78,100,100,89,100,86,89,91,90.1,1
3.92,Pharmacy,70,71,72,1428,CodeChef,3,2,0,3,3,15,79,69,62,66,65,100,46,57,55,78.02,1
3.13,EEE,58,72,67,1348,LeetCode,1,1,0,2,0,1,61,53,58,64,59,36,48,21,52,55.74,1
2.97,CSE,74,62,55,1472,Codeforces,1,4,0,3,2,11,54,55,54,59,56,69,38,83,49,56.14,1
2.3,B.B.A,11,3,10,26,CodeChef,0,0,0,0,0,0,3,24,1,0,0,8,7,6,4,3.8,0
3.13,Pharmacy,46,35,33,1047,HackerRank,1,2,1,0,1,3,42,38,35,34,40,33,40,37,43,40.86,0
3.8,CSE,97,93,77,2000,HackerRank,3,5,1,5,5,19,86,74,95,93,87,100,81,95,76,89.99,1
3.83,CSE,99,84,95,2440,Codeforces,3,3,0,3,4,18,84,77,83,95,82,100,78,69,74,89.69,1
2.46,Pharmacy,30,21,38,623,Codeforces,0,3,1,2,1,1,40,31,40,38,37,38,26,56,41,30.82,0
2.74,CSE,66,65,62,1416,HackerRank,1,3,0,3,1,4,62,45,62,63,59,59,35,70,49,55.07,1
3.79,CSE,100,99,84,2217,CodeChef,0,2,0,5,5,20,100,97,100,100,100,100,81,56,92,86.81,1
4,CSE,94,90,76,2079,LeetCode,2,4,0,4,3,13,83,87,97,95,80,100,77,86,75,85.72,1
3.88,CSE,100,99,87,2393,Codeforces,2,5,1,5,5,20,97,89,99,100,97,100,86,100,91,97.45,1
2.87,CSE,54,54,47,965,CodeChef,1,0,1,2,2,8,42,29,45,47,40,66,42,9,40,44.58,0
2.39,Civil,26,17,21,345,Codeforces,1,0,0,2,0,0,11,29,18,13,15,37,12,0,17,17.63,0
3.55,CSE,84,70,79,1835,CodeChef,3,3,0,3,4,17,73,60,78,76,64,100,58,71,77,77.89,1
2.4,CSE,18,24,29,733,CodeChef,0,1,1,2,2,5,7,14,11,23,11,51,1,19,19,18.57,0
2.31,CSE,17,28,25,546,LeetCode,0,1,0,0,1,4,14,16,23,23,21,28,12,18,8,17.46,0
3.11,CSE,52,63,51,1255,CodeChef,1,2,1,2,3,13,51,49,58,55,58,80,43,38,55,54.33,0
3.74,B.B.A,71,67,59,1392,Codeforces,1,2,1,3,5,20,76,72,70,72,77,100,66,46,70,74.41,1
3.32,CSE,79,85,74,1683,Codeforces,1,3,1,2,3,14,80,66,86,84,73,87,67,65,68,73.57,1
2.76,B.B.A,54,48,29,913,CodeChef,2,1,0,1,2,8,59,62,50,48,52,80,34,26,48,48.03,0
3.66,B.B.A,97,85,80,2045,Codeforces,0,2,1,4,2,9,95,96,94,92,98,59,80,56,84,82.71,1
2.57,CSE,35,30,24,641,Codeforces,1,1,0,2,1,4,27,21,32,32,13,52,22,19,8,27.33,0
2.44,English,38,35,35,782,HackerRank,1,1,0,1,1,3,53,35,37,35,40,44,42,22,46,37.72,0
3.67,EEE,82,70,70,1770,LeetCode,2,2,1,2,4,14,61,70,74,80,69,100,60,40,75,71.67,1
2.77,CSE,32,39,39,847,Codeforces,0,1,0,3,2,7,28,30,37,43,34,63,29,20,32,32.25,0
2.19,CSE,24,31,22,653,CodeChef,0,1,0,1,0,2,15,9,10,27,20,24,3,13,18,16.99,1
2.69,CSE,36,39,36,966,LeetCode,1,0,0,3,3,14,45,30,44,40,40,90,40,7,29,37.81,0
2,English,11,9,10,0,Codeforces,0,0,0,0,0,0,17,8,3,2,13,16,20,1,23,6.22,0
2.93,B.B.A,26,30,16,176,CodeChef,1,0,0,0,1,6,36,34,27,27,31,42,28,8,46,30.03,0
2.51,CSE,21,29,22,581,CodeChef,1,0,0,1,2,10,21,18,20,23,22,58,9,7,6,24.14,0
3.17,B.B.A,57,60,51,1260,LeetCode,1,3,0,4,3,13,61,69,75,65,59,97,63,67,59,59.67,1
3.24,CSE,70,73,59,1271,HackerRank,1,4,0,1,3,12,61,54,55,65,57,72,49,55,50,62.68,0
2.21,English,22,22,22,728,CodeChef,1,0,0,1,1,7,33,30,16,17,30,53,18,6,35,22.17,0
3.58,English,57,65,49,1356,HackerRank,3,2,1,2,4,18,81,70,61,64,67,100,65,44,63,71.95,1
2.29,CSE,34,18,27,211,CodeChef,1,0,1,2,2,8,19,16,15,9,20,70,2,7,8,20.12,0
3.18,CSE,51,51,54,1309,CodeChef,1,3,1,3,2,10,46,44,50,49,47,70,33,50,35,53.35,1
3.95,B.B.A,92,85,78,1882,Codeforces,1,2,0,4,4,18,99,91,86,84,96,100,85,48,95,85.37,1
2.16,CSE,27,20,10,199,LeetCode,0,0,0,0,0,0,13,15,24,12,13,17,5,0,9,10.27,0
4,CSE,99,100,86,2053,LeetCode,2,5,1,5,4,18,100,95,100,96,100,100,97,95,94,97.52,1
3.52,CSE,94,88,71,2061,Codeforces,2,4,0,4,5,20,76,84,92,97,87,100,79,87,64,84.35,1
2.68,Civil,37,36,44,496,HackerRank,1,2,1,1,3,10,33,40,27,32,31,72,18,48,27,36.7,0
3.15,CSE,68,59,60,1336,Codeforces,0,3,0,4,3,12,60,45,59,60,62,81,56,59,46,57.01,0
2.6,English,19,33,28,464,Codeforces,0,2,1,0,1,5,42,28,17,25,33,32,33,41,39,30.18,0
3.38,CSE,81,72,58,1125,CodeChef,1,1,0,2,3,13,63,54,61,67,66,76,59,39,58,64.15,0
3.53,CSE,96,85,82,2255,LeetCode,2,4,0,4,4,15,83,92,93,96,96,100,86,79,79,86.69,1
2.05,B.B.A,15,19,16,0,CodeChef,0,0,0,0,1,3,27,19,4,10,22,22,28,8,23,15.16,0
2.25,Civil,8,16,10,0,LeetCode,0,0,0,0,0,0,12,25,11,8,8,18,16,1,16,10.22,0
3.14,B.B.A,51,46,46,1069,LeetCode,0,1,0,2,2,9,66,56,45,45,52,53,51,23,63,45.78,0
2.31,CSE,23,40,31,516,HackerRank,0,0,0,1,1,4,15,14,26,22,20,36,19,0,13,18.95,0
2.52,EEE,24,30,28,742,Codeforces,1,3,0,1,1,3,24,26,34,30,21,48,28,50,17,28.64,1
3.43,B.B.A,64,63,53,1434,CodeChef,2,4,0,0,5,20,77,80,73,74,82,100,78,74,79,74.75,1
2.54,CSE,48,47,36,850,LeetCode,0,3,0,3,2,8,38,46,39,38,34,65,33,36,45,35.63,0
2.6,EEE,35,36,42,740,Codeforces,1,1,1,1,2,7,21,19,30,32,26,55,22,13,22,32.82,0
3.6,B.B.A,84,70,75,1706,CodeChef,3,3,0,1,5,20,81,64,65,76,75,100,67,71,82,81.72,1
2.47,Civil,27,18,18,441,HackerRank,0,1,0,1,1,3,22,19,26,22,24,31,23,20,28,22.73,0
3.37,CSE,81,79,72,1536,HackerRank,2,3,1,2,2,10,77,68,81,83,81,78,67,67,60,76.84,1
2.23,CSE,26,13,15,336,HackerRank,0,3,0,0,0,3,15,0,4,14,10,25,8,47,3,14.97,0
3.66,CSE,91,75,61,1819,HackerRank,2,4,0,2,1,5,73,63,80,84,77,65,71,68,64,75.9,1
3.13,B.B.A,46,44,38,1094,HackerRank,2,1,0,3,2,9,54,48,50,47,53,89,50,38,51,48.1,0
2.65,EEE,37,30,14,507,Codeforces,0,2,0,0,0,0,19,22,29,28,22,15,21,30,13,21.52,0
2,EEE,27,13,14,189,LeetCode,0,1,1,1,0,1,21,0,18,15,14,15,21,12,0,14.39,0
2.91,EEE,64,64,44,1848,LeetCode,2,4,1,3,3,13,70,58,58,69,65,100,50,71,58,65.81,1
3.86,CSE,100,92,92,2435,CodeChef,1,5,1,5,4,18,88,76,100,100,97,100,86,94,87,91.98,1
3.51,English,67,54,65,1570,LeetCode,1,3,0,2,1,5,79,86,58,71,76,53,75,56,83,67.33,0
2.64,CSE,37,31,37,534,HackerRank,0,1,1,3,2,9,24,21,33,27,27,59,19,13,23,30.27,0
3.37,B.B.A,64,57,60,1367,HackerRank,0,1,1,2,1,7,74,59,60,59,62,46,60,38,65,56.86,0
2.83,CSE,28,50,34,986,LeetCode,0,5,0,0,2,7,46,37,45,38,42,44,16,82,41,40.58,1
4,CSE,100,100,94,2121,LeetCode,1,2,1,4,5,20,99,74,93,98,94,100,68,52,77,94.15,1
3.44,CSE,100,89,84,2105,CodeChef,3,3,0,5,4,16,90,81,97,100,90,100,90,79,79,91.13,1
3.46,B.B.A,50,50,51,1157,HackerRank,0,1,0,4,3,9,62,60,59,50,56,81,51,37,62,53.19,1
2.46,CSE,52,51,57,1234,LeetCode,2,1,0,1,2,9,45,27,50,57,46,71,33,8,46,46.73,0
3.53,EEE,88,79,71,2089,CodeChef,3,2,1,4,3,13,83,77,92,95,80,100,80,51,78,84.43,1
2,CSE,9,15,6,408,HackerRank,0,0,0,0,0,1,9,11,11,6,5,17,0,0,0,6.18,0
3.6,CSE,82,86,68,1907,CodeChef,3,3,1,3,3,16,80,88,89,91,76,100,66,57,70,85.3,1
3.3,B.B.A,40,32,42,840,Codeforces,1,1,1,1,2,7,51,49,36,35,44,55,58,25,37,46.52,1
2.22,EEE,28,21,27,242,LeetCode,0,0,0,0,0,1,15,6,11,15,16,8,12,8,18,15.59,0
2.37,B.B.A,7,0,17,268,CodeChef,0,1,0,0,0,0,26,12,6,0,10,8,12,20,15,10.13,0
2.26,CSE,26,32,30,589,CodeChef,1,0,0,0,0,0,11,15,21,19,14,30,25,0,10,20.59,0
3.78,Civil,90,91,79,2037,CodeChef,1,4,1,5,4,18,89,96,100,92,87,100,89,68,90,85.8,1
2.71,CSE,34,26,25,686,HackerRank,2,1,0,2,0,1,30,19,34,33,25,43,23,13,34,32.13,0
2.15,EEE,12,16,5,67,Codeforces,0,0,0,0,0,0,7,9,10,10,12,3,8,0,14,9.88,0
3.26,EEE,72,77,78,1569,HackerRank,1,3,0,2,4,17,64,72,68,70,61,91,57,61,52,66.34,0
2.47,Civil,24,29,2,461,Codeforces,0,1,0,0,0,0,18,9,23,24,20,11,11,26,17,19.32,0
2.31,English,1,11,17,47,Codeforces,0,0,1,0,0,0,15,0,5,13,7,5,0,0,4,10.93,0
3.1,CSE,69,64,65,1744,Codeforces,1,5,0,2,4,16,69,73,78,78,69,97,59,91,65,67.11,1
2.17,CSE,23,18,19,172,CodeChef,0,1,0,1,1,5,2,8,1,10,13,33,0,15,7,12.14,0
2.89,CSE,46,40,42,942,CodeChef,2,2,0,1,3,13,35,16,50,40,38,95,28,38,23,45.16,0
3.59,B.B.A,67,58,57,1437,Codeforces,1,1,0,2,3,13,80,67,70,68,77,80,75,40,75,69.05,1
3.29,CSE,61,62,62,1094,CodeChef,3,3,1,1,2,10,48,62,52,60,54,91,43,64,38,64.92,1
3.35,B.B.A,58,53,59,1078,LeetCode,1,1,0,3,2,8,61,48,62,53,59,73,55,29,61,57.45,0
3.79,CSE,100,86,93,2182,HackerRank,2,4,0,3,3,12,95,77,97,98,92,100,84,74,85,91.02,1
2.22,EEE,15,19,7,328,CodeChef,1,0,0,1,0,3,2,10,11,9,8,43,0,0,12,9.85,0
3.23,Pharmacy,79,77,66,1461,HackerRank,2,5,0,4,2,9,78,67,68,69,75,93,61,100,70,72.43,1
3.15,EEE,67,59,45,1111,CodeChef,1,2,0,3,3,11,44,41,58,56,46,90,52,32,46,52.95,1
2.21,CSE,31,16,24,507,CodeChef,0,0,0,1,2,8,13,4,21,16,13,48,20,3,19,16.44,0
2.66,B.B.A,49,41,26,666,HackerRank,1,1,1,1,2,8,53,42,38,42,48,59,46,18,53,41.61,0
3.39,CSE,100,91,78,2019,HackerRank,3,4,1,4,4,18,90,66,93,87,82,100,73,75,82,85.41,1
3.39,EEE,89,85,75,1643,Codeforces,2,3,1,1,4,19,84,66,83,75,78,100,49,66,72,80.44,1
2,B.B.A,11,9,3,0,LeetCode,0,0,1,0,1,5,15,19,2,0,14,22,0,0,13,8.53,0
2.49,English,9,2,0,51,CodeChef,0,0,0,1,0,0,20,10,0,0,12,21,14,0,17,9.21,0
3.57,CSE,99,95,88,2293,LeetCode,1,4,0,5,4,17,91,82,99,92,92,100,86,79,79,84.78,1
3.94,CSE,96,97,84,2172,LeetCode,3,2,1,3,5,20,99,78,100,100,92,100,84,50,94,97.41,1
3.53,CSE,86,82,84,1914,CodeChef,3,5,0,4,2,11,80,67,88,90,81,100,79,82,78,82.76,1
2.15,CSE,11,9,5,433,HackerRank,0,0,0,1,0,0,4,11,7,9,5,21,10,8,3,5.98,0
